Manufactuer,Discription,Capacaty,RPM,Interface,Cache,Class
IBM,"IBM 49Y1903 1 TB 3.5"" Internal Hard Drive IBM 49Y1903 1 TB 3.5"" Internal Hard Drive",1024,,,,
LaCie,"LaCie 9000135 3TB 3.5"" Spare Drive for 5big Network 2 LaCie 9000135 3TB 3.5"" Spare Drive for 5big Network 2",3000,,,,
IBM,"IBM 49Y7427 - 900GB 2.5"" SAS 10K 6Gb/s HS Hard Drive IBM 49Y7427 - 900GB 2.5"" SAS 10K 6Gb/s HS Hard Drive",900,10000,SAS 12.0Gb/s,,
LaCie,"LaCie 2big Spare Drive 301469 2TB 7200 RPM 32MB Cache SATA 3.0Gb/s 3.5"" Internal Hard Drive LaCie 2big Spare Drive 301469 2TB 7200 RPM 32MB Cache SATA 3.0Gb/s 3.5"" Internal Hard Drive",2048,7200,SATA 3.0Gb/s,32,
IBM,"IBM 81Y9692 - 1TB 2.5"" SAS 7.2K 6Gb/s HS Hard Drive IBM 81Y9692 - 1TB 2.5"" SAS 7.2K 6Gb/s HS Hard Drive",1024,7200,SAS 6.0Gb/s,,
FUJITSU - Storage/Hard Drive,"Fujitsu MAT3300NP 300GB 10000 RPM 8MB Cache SCSI Ultra320 68pin 3.5"" Hard Drive Bare Drive Fujitsu MAT3300NP 300GB 10000 RPM 8MB Cache SCSI Ultra320 68pin 3.5"" Hard Drive Bare Drive",300,10000,SCSI Ultra,8,
Western Digital,Western Digital WD800BB 80GB UDMA/100 7200RPM 2MB IDE Hard Drive Western Digital WD800BB 80GB UDMA/100 7200RPM 2MB IDE Hard Drive,80,7200,,2,
DELL,"Dell 341-9675 - 600GB 3.5"" SAS 10K 6Gb/s HS Hard Drive Dell 341-9675 - 600GB 3.5"" SAS 10K 6Gb/s HS Hard Drive",600,10000,SAS 12.0Gb/s,,
Western Digital,"Western Digital Blue WD5000AAJS 500GB 7200 RPM 8MB Cache SATA 3.0Gb/s 3.5"" Hard Drive Bare Drive Western Digital Blue WD5000AAJS 500GB 7200 RPM 8MB Cache SATA 3.0Gb/s 3.5"" Hard Drive Bare Drive",500,7200,SATA 3.0Gb/s,8,Blue
DELL,"Dell 341-9624 - 600GB 3.5"" SAS 15K 6Gb/s HS Hard Drive Dell 341-9624 - 600GB 3.5"" SAS 15K 6Gb/s HS Hard Drive",600,15000,SAS 12.0Gb/s,,
Western Digital,Western Digital WD5000ABYS 500GB RE SATA 7200 Rpm 16MB 3.5-Inch 3GB/S Drive Western Digital WD5000ABYS 500GB RE SATA 7200 Rpm 16MB 3.5-Inch 3GB/S Drive,500,7200,SATA 3.0Gb/s,16,
DELL,"Dell 342-0849 - 600GB 2.5"" SAS 10K 6Gb/s HS Hard Drive Dell 342-0849 - 600GB 2.5"" SAS 10K 6Gb/s HS Hard Drive",600,10000,SAS 12.0Gb/s,,
Axiom,"Axiom 2 TB 3.5"" Internal Hard Drive Axiom 2 TB 3.5"" Internal Hard Drive",2048,,,,
Seagate,"Seagate Cheetah 15K.5 ST3300655LC 300GB 15000 RPM 16MB Cache SCSI Ultra320 80pin 3.5"" Hard Drive Bare Drive Seagate Cheetah 15K.5 ST3300655LC 300GB 15000 RPM 16MB Cache SCSI Ultra320 80pin 3.5"" Hard Drive Bare Drive",300,15000,SCSI Ultra,16,Cheetah
Hewlett-Packard,"HP Midline 458930-B21 750GB 7200 RPM SATA 3.0Gb/s 3.5"" Internal Hard Drive Bare Drive HP Midline 458930-B21 750GB 7200 RPM SATA 3.0Gb/s 3.5"" Internal Hard Drive Bare Drive",750,7200,SATA 3.0Gb/s,,
DELL,"Dell 342-5299 - 4TB 3.5"" Near Line SAS 7.2K 6Gb/s HS Hard Drive Dell 342-5299 - 4TB 3.5"" Near Line SAS 7.2K 6Gb/s HS Hard Drive",4000,7200,SAS 6.0Gb/s,,
Hewlett-Packard,"HP 713825-B21 - 300GB 2.5"" SAS 10K 6Gb/s HS Enterprise Hard Drive HP 713825-B21 - 300GB 2.5"" SAS 10K 6Gb/s HS Enterprise Hard Drive",300,10000,SAS 12.0Gb/s,,
IBM,IBM 500 GB 3.5' Internal Hard Drive IBM 500 GB 3.5' Internal Hard Drive,500,,,,
Toshiba,"TOSHIBA MKxx33GSG Series MK2533GSG 250GB 5400 RPM 16MB Cache Serial ATA Revision 3.0 1.8"" Internal Hard Drive TOSHIBA MKxx33GSG Series MK2533GSG 250GB 5400 RPM 16MB Cache Serial ATA Revision 3.0 1.8"" Internal Hard Drive",250,15000,SATA 3.0Gb/s,16,
Seagate,"Seagate Pipeline HD ST3320311CS 320GB 5900 RPM 8MB Cache SATA 3.0Gb/s 3.5"" Internal Hard Drive Bare Drive -OEM w/1 Year Warranty Seagate Pipeline HD ST3320311CS 320GB 5900 RPM 8MB Cache SATA 3.0Gb/s 3.5"" Internal Hard Drive Bare Drive -OEM w/1 Year Warranty",320,5900,SATA 3.0Gb/s,8,Pipeline
Hewlett-Packard,"HP 657750-S21 1TB 7200 RPM SATA 6.0Gb/s 3.5"" LFF SC Midline Hard Drive S-Buy HP 657750-S21 1TB 7200 RPM SATA 6.0Gb/s 3.5"" LFF SC Midline Hard Drive S-Buy",1024,7200,SATA 6.0Gb/s,,
Hewlett-Packard,"HP 628061-S21 - 3TB 3.5"" SATA 7.2K 6Gb/s SC Midline Hard Drive HP 628061-S21 - 3TB 3.5"" SATA 7.2K 6Gb/s SC Midline Hard Drive",3000,7200,SAS 6.0Gb/s,,
Hewlett-Packard,"HP C8S58SB 600GB 10000 RPM SAS-2 2.5"" Internal Hard Drive HP C8S58SB 600GB 10000 RPM SAS-2 2.5"" Internal Hard Drive",600,10000,,,
DELL,"Dell 342-0803 - 300GB 2.5"" SAS 10K 6Gb/s HS Hard Drive Dell 342-0803 - 300GB 2.5"" SAS 10K 6Gb/s HS Hard Drive",300,10000,SAS 12.0Gb/s,,
FUJITSU - Storage/Hard Drive,"Fujitsu MAY2073RC 73GB 10000 RPM 16MB Cache Serial Attached SCSI (SAS) 2.5"" Hard Drive Bare Drive Fujitsu MAY2073RC 73GB 10000 RPM 16MB Cache Serial Attached SCSI (SAS) 2.5"" Hard Drive Bare Drive",73,10000,SCSI Ultra,16,
IBM,"IBM 49Y7463 - 2TB 3.5"" SAS 7.2K 6Gb/s HS Hard Drive IBM 49Y7463 - 2TB 3.5"" SAS 7.2K 6Gb/s HS Hard Drive",2048,7200,SAS 6.0Gb/s,,
DELL,"Dell 342-4926 - 1TB 2.5"" Near Line SAS 7.2K 6Gb/s HS Secure Encrypted Drive Dell 342-4926 - 1TB 2.5"" Near Line SAS 7.2K 6Gb/s HS Secure Encrypted Drive",1024,7200,SAS 6.0Gb/s,,
IBM,"IBM 90Y8579 - 3TB 3.5"" Near Line SAS 7.2K 6Gb/s HS Hard Drive IBM 90Y8579 - 3TB 3.5"" Near Line SAS 7.2K 6Gb/s HS Hard Drive",3000,7200,SAS 6.0Gb/s,,
Hewlett-Packard,"HP StorageWorks MSA2 AJ740A 1TB 7200 RPM SATA 3.0Gb/s 3.5"" Internal Hard Drive HP StorageWorks MSA2 AJ740A 1TB 7200 RPM SATA 3.0Gb/s 3.5"" Internal Hard Drive",1024,7200,SATA 3.0Gb/s,,
IBM,"IBM 49Y3726 - 500GB 2.5"" Near Line SAS 7.2K 6Gb/s Slim-HS Hard Drive IBM 49Y3726 - 500GB 2.5"" Near Line SAS 7.2K 6Gb/s Slim-HS Hard Drive",500,7200,SAS 6.0Gb/s,,
Western Digital,"Western Digital Black WD4001FAEX 4TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive Western Digital Black WD4001FAEX 4TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive",4000,7200,SATA 6.0Gb/s,64,Black
Hewlett-Packard,"HP 637327-001 - 500GB 3.5"" SATA 7.2K 6Gb/s Non Hot-Plug Hard Drive HP 637327-001 - 500GB 3.5"" SATA 7.2K 6Gb/s Non Hot-Plug Hard Drive",500,7200,SAS 6.0Gb/s,,
Hewlett-Packard,"HP AJ740B 1TB 7200 RPM SATA 3.5"" Internal Hard Drive HP AJ740B 1TB 7200 RPM SATA 3.5"" Internal Hard Drive",1024,7200,,,
DELL,"Dell 342-2240 - 300GB 2.5"" SAS 15K 6Gb/s HS Hard Drive Dell 342-2240 - 300GB 2.5"" SAS 15K 6Gb/s HS Hard Drive",300,15000,SAS 12.0Gb/s,,
DELL,"Dell 342-3620 - 900GB 2.5"" SAS 10K 6Gb/s HS Hard Drive Dell 342-3620 - 900GB 2.5"" SAS 10K 6Gb/s HS Hard Drive",900,10000,SAS 12.0Gb/s,,
DELL,"Dell 341-7001 - 500GB 3.5"" SATA 7.2K 3Gb/s HS Hard Drive Dell 341-7001 - 500GB 3.5"" SATA 7.2K 3Gb/s HS Hard Drive",500,7200,SATA 3.0Gb/s,,
Seagate,"Seagate Cheetah 15K.5 ST3146855LC 147GB 15000 RPM 16MB Cache SCSI Ultra320 80pin 3.5"" Hard Drive Bare Drive Seagate Cheetah 15K.5 ST3146855LC 147GB 15000 RPM 16MB Cache SCSI Ultra320 80pin 3.5"" Hard Drive Bare Drive",147,15000,SCSI Ultra,16,Cheetah
HGST,"Hitachi GST Deskstar 7K1000.C HDS721025CLA382 (0F10379) 250GB 7200 RPM 8MB Cache SATA 3.0Gb/s 3.5"" Internal Hard Drive Bare Drive Hitachi GST Deskstar 7K1000.C HDS721025CLA382 (0F10379) 250GB 7200 RPM 8MB Cache SATA 3.0Gb/s 3.5"" Internal Hard Drive Bare Drive",250,7200,SATA 3.0Gb/s,8,
SAMSUNG,"Samsung 840 Pro MZ-7PD512 512 GB 2.5"" Internal Solid State Drive - Bulk Samsung 840 Pro MZ-7PD512 512 GB 2.5"" Internal Solid State Drive - Bulk",512,,,,
Axiom,Axiom 450 GB 3.5' Internal Hard Drive Axiom 450 GB 3.5' Internal Hard Drive,450,,,,
Toshiba,"TOSHIBA DT01ACA050 500GB 32MB Cache SATA 3 (6.0 Gb/S) 3.5"" Internal Hard Drive Bare Drive TOSHIBA DT01ACA050 500GB 32MB Cache SATA 3 (6.0 Gb/S) 3.5"" Internal Hard Drive Bare Drive",500,,SATA 6.0Gb/s,32,
HGST,"Hitachi GST Deskstar 5K1000 HDS5C1050CLA382 (0F12955) 500GB 8MB Cache SATA 3.0Gb/s 3.5"" Hard Disk Drive Bare Drive Hitachi GST Deskstar 5K1000 HDS5C1050CLA382 (0F12955) 500GB 8MB Cache SATA 3.0Gb/s 3.5"" Hard Disk Drive Bare Drive",500,,SATA 3.0Gb/s,8,
Seagate,"Seagate DB35 Series 7200.2 ST3802110ACE 80GB 7200 RPM 2MB Cache IDE Ultra ATA100 / ATA-6 3.5"" Hard Drive Bare Drive Seagate DB35 Series 7200.2 ST3802110ACE 80GB 7200 RPM 2MB Cache IDE Ultra ATA100 / ATA-6 3.5"" Hard Drive Bare Drive",80,7200,IDE Ultra ,2,DB35
Seagate,"Seagate Constellation ES.3 ST2000NM0023 2TB 7200 RPM 128MB Cache SAS 6Gb/s 3.5"" Enterprise Internal Hard Drive Bare Drive Seagate Constellation ES.3 ST2000NM0023 2TB 7200 RPM 128MB Cache SAS 6Gb/s 3.5"" Enterprise Internal Hard Drive Bare Drive",2048,7200,SAS 6.0Gb/s,128,Constellation
IBM,IBM 00AD080 - 1.2TB 2.5'' SAS 10K 6Gb/s HS Hard Drive IBM 00AD080 - 1.2TB 2.5'' SAS 10K 6Gb/s HS Hard Drive,2048,10000,SAS 12.0Gb/s,,
Lenovo,"Lenovo 43R1990 500GB 7200 RPM 8MB Cache SATA 3.0Gb/s 3.5"" Internal Hard Drive Lenovo 43R1990 500GB 7200 RPM 8MB Cache SATA 3.0Gb/s 3.5"" Internal Hard Drive",500,7200,SATA 3.0Gb/s,8,
IBM,"IBM 49Y7462 - 1TB 3.5"" Near Line SAS 7.2K 6Gb/s HS Hard Drive IBM 49Y7462 - 1TB 3.5"" Near Line SAS 7.2K 6Gb/s HS Hard Drive",1024,7200,SAS 6.0Gb/s,,
Seagate,"Seagate Barracuda 7200.9 ST3400633A 400GB 7200 RPM 16MB Cache IDE Ultra ATA100 / ATA-6 3.5"" Hard Drive Bare Drive Seagate Barracuda 7200.9 ST3400633A 400GB 7200 RPM 16MB Cache IDE Ultra ATA100 / ATA-6 3.5"" Hard Drive Bare Drive",400,7200,IDE Ultra ,16,Barracuda
Western Digital,"Western Digital Blue WD2500AAJS 250GB 7200 RPM 8MB Cache SATA 3.0Gb/s 3.5"" Internal Hard Drive Bare Drive Western Digital Blue WD2500AAJS 250GB 7200 RPM 8MB Cache SATA 3.0Gb/s 3.5"" Internal Hard Drive Bare Drive",250,7200,SATA 3.0Gb/s,8,Blue
Hewlett-Packard,HP 600 GB 3.5' Internal Hard Drive HP 600 GB 3.5' Internal Hard Drive,600,,,,
Seagate,"Seagate Constellation ES.2 ST32000645NS 2TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Enterprise Internal Hard Drive Bare Drive Seagate Constellation ES.2 ST32000645NS 2TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Enterprise Internal Hard Drive Bare Drive",2048,7200,SATA 6.0Gb/s,64,Constellation
Seagate,"Seagate ST2000NM0034 2TB 7200 RPM 128MB Cache SAS 12Gb/s 3.5"" Enterprise Hard Drive Bare Drive Seagate ST2000NM0034 2TB 7200 RPM 128MB Cache SAS 12Gb/s 3.5"" Enterprise Hard Drive Bare Drive",2048,7200,SAS 12.0Gb/s,128,Enterprise
Western Digital,WD AV-GP 250 GB AV Hard Drive: 3.5 Inch SATA II 16 MB Cache - WD2500AVCS WD AV-GP 250 GB AV Hard Drive: 3.5 Inch SATA II 16 MB Cache - WD2500AVCS,250,,SATA 3.0Gb/s,16,AV-GP
Axiom,"Axiom 4XB0G88712-AX 5TB 7200 RPM 128MB Cache SATA 6.0Gb/s 3.5"" Enterprise Internal Hard Drive Axiom 4XB0G88712-AX 5TB 7200 RPM 128MB Cache SATA 6.0Gb/s 3.5"" Enterprise Internal Hard Drive",5000,7200,SATA 6.0Gb/s,128,
Seagate,"Seagate Cheetah 10K.7 ST373207LW 74GB 10000 RPM 8MB Cache SCSI Ultra320 68pin 3.5"" Hard Drive Bare Drive Seagate Cheetah 10K.7 ST373207LW 74GB 10000 RPM 8MB Cache SCSI Ultra320 68pin 3.5"" Hard Drive Bare Drive",74,10000,SCSI Ultra,8,Cheetah
Western Digital,Western Digital Caviar Blue 640 GB Bulk/OEM Hard Drive 3.5 Inch 16 MB Cache 7200 RPM SATA II WD6400AAKS Western Digital Caviar Blue 640 GB Bulk/OEM Hard Drive 3.5 Inch 16 MB Cache 7200 RPM SATA II WD6400AAKS,640,7200,SATA 3.0Gb/s,16,Caviar Blue
IBM,"IBM 42D0768 - 2TB 3.5"" SAS 7.2K 6Gb/s HS Hard Drive IBM 42D0768 - 2TB 3.5"" SAS 7.2K 6Gb/s HS Hard Drive",2048,7200,SAS 6.0Gb/s,,
FUJITSU - Storage/Hard Drive,"Fujitsu MAS3735NC 73GB 15000 RPM 8MB Cache SCSI Ultra320 80pin 3.5"" Hard Drive Bare Drive Fujitsu MAS3735NC 73GB 15000 RPM 8MB Cache SCSI Ultra320 80pin 3.5"" Hard Drive Bare Drive",73,15000,SCSI Ultra,8,
IBM,"IBM 90Y8567 1TB 7200 RPM SAS 6Gb/s 3.5"" Internal Hard Drive IBM 90Y8567 1TB 7200 RPM SAS 6Gb/s 3.5"" Internal Hard Drive",1024,7200,SAS 6.0Gb/s,,
HGST,"Hitachi GST Deskstar 7K160 HDS721680PLA380 (0Y30005) 80GB 7200 RPM 8MB Cache SATA 3.0Gb/s 3.5"" Hard Drive Bare Drive Hitachi GST Deskstar 7K160 HDS721680PLA380 (0Y30005) 80GB 7200 RPM 8MB Cache SATA 3.0Gb/s 3.5"" Hard Drive Bare Drive",80,7200,SATA 3.0Gb/s,8,
Seagate,"Seagate Barracuda ES ST3250820NS 250GB 7200 RPM 8MB Cache SATA 3.0Gb/s 3.5"" Hard Drive Bare Drive Seagate Barracuda ES ST3250820NS 250GB 7200 RPM 8MB Cache SATA 3.0Gb/s 3.5"" Hard Drive Bare Drive",250,7200,SATA 3.0Gb/s,8,Barracuda
DELL,"Dell 462-6771 4TB 7200 RPM SAS 6Gb/s 3.5"" Hard Drive Dell 462-6771 4TB 7200 RPM SAS 6Gb/s 3.5"" Hard Drive",4000,7200,SAS 6.0Gb/s,,
DELL,"Dell 342-0602 - 300GB 2.5"" SAS 10K 6Gb/s HS Secure Encrypted Drive Dell 342-0602 - 300GB 2.5"" SAS 10K 6Gb/s HS Secure Encrypted Drive",300,10000,SAS 12.0Gb/s,,
Seagate,"Seagate Cheetah 15K.3 ST318453LC 18.4GB 15000 RPM 8MB Cache SCSI Ultra320 68pin 3.5"" Hard Drive Bare Drive Seagate Cheetah 15K.3 ST318453LC 18.4GB 15000 RPM 8MB Cache SCSI Ultra320 68pin 3.5"" Hard Drive Bare Drive",18,15000,SCSI Ultra,8,Cheetah
DELL,"Dell 342-2056 600GB 15000 RPM 16MB Cache SAS 3Gb/s 3.5"" Internal Hard Drive Dell 342-2056 600GB 15000 RPM 16MB Cache SAS 3Gb/s 3.5"" Internal Hard Drive",600,15000,SAS 3.0Gb/s,16,
HGST,"Hitachi GST Deskstar T7K250 HDT722525DLA380 250GB 7200 RPM 8MB Cache SATA 3.0Gb/s 3.5"" Hard Drive Bare Drive Hitachi GST Deskstar T7K250 HDT722525DLA380 250GB 7200 RPM 8MB Cache SATA 3.0Gb/s 3.5"" Hard Drive Bare Drive",250,7200,SATA 3.0Gb/s,8,
DELL,"Dell 342-5298 - 4TB 3.5"" SAS 7.2K 6Gb/s HS Hard Drive Dell 342-5298 - 4TB 3.5"" SAS 7.2K 6Gb/s HS Hard Drive",4000,7200,SAS 6.0Gb/s,,
IBM,"IBM 90Y8573 - 2TB 3.5"" Near Line SAS 7.2K 6Gb/s HS Hard Drive IBM 90Y8573 - 2TB 3.5"" Near Line SAS 7.2K 6Gb/s HS Hard Drive",2048,7200,SAS 6.0Gb/s,,
Western Digital,"WD Xe WD3001HKHG 300GB 10000 RPM 32MB Cache SAS 6Gb/s 3.5"" Internal Hard Drive Bare Drive WD Xe WD3001HKHG 300GB 10000 RPM 32MB Cache SAS 6Gb/s 3.5"" Internal Hard Drive Bare Drive",300,10000,SAS 6.0Gb/s,32,XE
DELL,"Dell 342-2065 - 450GB 3.5"" SAS 15K 6Gb/s HS Hard Drive Dell 342-2065 - 450GB 3.5"" SAS 15K 6Gb/s HS Hard Drive",450,15000,SAS 12.0Gb/s,,
Axiom,"Axiom 600 GB 3.5"" Internal Hard Drive Axiom 600 GB 3.5"" Internal Hard Drive",600,,,,
DELL,"Dell 342-0603 - 450GB 3.5"" SAS 15K 6Gb/s HS Hard Drive Dell 342-0603 - 450GB 3.5"" SAS 15K 6Gb/s HS Hard Drive",450,15000,SAS 12.0Gb/s,,
DELL,"Dell 342-3988 - 3TB 3.5"" Near Line SAS 7.2K 6Gb/s HS Secure Encrypted Drive Dell 342-3988 - 3TB 3.5"" Near Line SAS 7.2K 6Gb/s HS Secure Encrypted Drive",3000,7200,SAS 6.0Gb/s,,
IBM,IBM 42D0417 300 GB 3.5' Internal SAN Hard Drive IBM 42D0417 300 GB 3.5' Internal SAN Hard Drive,300,,,,
Seagate,"Seagate Cheetah ST373453LC 74GB 15000 RPM 8MB Cache SCSI Ultra320 80pin 3.5"" Hard Drive Bare Drive Seagate Cheetah ST373453LC 74GB 15000 RPM 8MB Cache SCSI Ultra320 80pin 3.5"" Hard Drive Bare Drive",74,15000,SCSI Ultra,8,Cheetah
DELL,"Dell 342-2336 - 3TB 3.5"" SAS 7.2K 6Gb/s HS Hard Drive Dell 342-2336 - 3TB 3.5"" SAS 7.2K 6Gb/s HS Hard Drive",3000,7200,SAS 6.0Gb/s,,
DELL,"Dell 342-1810 - 450GB 3.5"" SAS 15K 6Gb/s HS Hard Drive Dell 342-1810 - 450GB 3.5"" SAS 15K 6Gb/s HS Hard Drive",450,15000,SAS 12.0Gb/s,,
Seagate,"Seagate Constellation ES.3 ST1000NM0053 1 TB 3.5"" Internal Hard Drive Seagate Constellation ES.3 ST1000NM0053 1 TB 3.5"" Internal Hard Drive",1024,,,,Constellation
FUJITSU - Storage/Hard Drive,"Fujitsu MAX3073NP 73.5GB 15000 RPM 8MB Cache SCSI Ultra320 68pin 3.5"" Hard Drive Fujitsu MAX3073NP 73.5GB 15000 RPM 8MB Cache SCSI Ultra320 68pin 3.5"" Hard Drive",73.5,15000,SCSI Ultra,8,
HGST,"Hitachi GST Deskstar 7K1000.D HDS721050DLE630 (0F13178) 500GB 7200 RPM 32MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive Hitachi GST Deskstar 7K1000.D HDS721050DLE630 (0F13178) 500GB 7200 RPM 32MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive",500,7200,SATA 6.0Gb/s,32,
Axiom,Axiom 146 GB 3.5' Internal Hard Drive Axiom 146 GB 3.5' Internal Hard Drive,146,,,,
Seagate,"Seagate Barracuda ST3160215SCE 160GB 2MB Cache 7200RPM SATA 3.0Gb/s 3.5"" Internal Desktop Hard Drive - w/1 Year Warranty Seagate Barracuda ST3160215SCE 160GB 2MB Cache 7200RPM SATA 3.0Gb/s 3.5"" Internal Desktop Hard Drive - w/1 Year Warranty",160,7200,SATA 3.0Gb/s,2,Barracuda
IBM,"IBM 44W2240 - 450GB 3.5"" SAS 15K 6Gb/s HS Hard Drive IBM 44W2240 - 450GB 3.5"" SAS 15K 6Gb/s HS Hard Drive",450,15000,SAS 12.0Gb/s,,
Western Digital,"Western Digital Black WD1502FAEX 1.5TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive Western Digital Black WD1502FAEX 1.5TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive",1500,7200,SATA 6.0Gb/s,64,Black
Seagate,"Seagate ST3640323AS 640GB 7200 RPM 32MB Cache SATA 3.0Gb/s 3.5"" Internal Hard Drive Bare Drive Seagate ST3640323AS 640GB 7200 RPM 32MB Cache SATA 3.0Gb/s 3.5"" Internal Hard Drive Bare Drive",640,7200,SATA 3.0Gb/s,32,ST
Toshiba,"TOSHIBA MG03SCA300 3TB 7200 RPM 64MB Cache SAS 6Gb/s 3.5"" Internal Hard Drive Bare Drive TOSHIBA MG03SCA300 3TB 7200 RPM 64MB Cache SAS 6Gb/s 3.5"" Internal Hard Drive Bare Drive",3000,7200,SAS 6.0Gb/s,64,
DELL,"Dell 342-2016 - 300GB 2.5"" SAS 10K 6Gb/s HS Hard Drive Dell 342-2016 - 300GB 2.5"" SAS 10K 6Gb/s HS Hard Drive",300,10000,SAS 12.0Gb/s,,
Lenovo,Lenovo 67Y1462 450 GB 3.5' Internal Hard Drive Lenovo 67Y1462 450 GB 3.5' Internal Hard Drive,450,,,,
Western Digital,"Western Digital Raptor WD1600ADFD 160GB 10000 RPM 16MB Cache SATA 1.5Gb/s 3.5"" Hard Drive Bare Drive Western Digital Raptor WD1600ADFD 160GB 10000 RPM 16MB Cache SATA 1.5Gb/s 3.5"" Hard Drive Bare Drive",1500,10000,SATA 1.5Gb/s,16,Raptor
Axiom,"Axiom 500 GB 3.5"" Internal Hard Drive Axiom 500 GB 3.5"" Internal Hard Drive",500,,,,
Hewlett-Packard,"HP 652766-B21 3TB 7200 RPM SAS 6Gb/s 3.5"" LFF SC Midline Hard Drive HP 652766-B21 3TB 7200 RPM SAS 6Gb/s 3.5"" LFF SC Midline Hard Drive",3000,7200,SAS 6.0Gb/s,,
Seagate,"Seagate ST2000NM0014 2TB 7200 RPM 128MB Cache SAS 12Gb/s 3.5"" Internal Hard Drive Seagate ST2000NM0014 2TB 7200 RPM 128MB Cache SAS 12Gb/s 3.5"" Internal Hard Drive",2048,7200,SAS 12.0Gb/s,128,ST
HGST,"Hitachi GST 0A38016 1TB 7200 RPM 16MB Cache SATA 3.0Gb/s 3.5"" Internal Hard Drive Bare Drive Hitachi GST 0A38016 1TB 7200 RPM 16MB Cache SATA 3.0Gb/s 3.5"" Internal Hard Drive Bare Drive",1024,7200,SATA 3.0Gb/s,16,
DELL,"Dell 341-9520 450GB 15000 RPM SAS 3Gb/s 3.5"" Internal Hard Drive Dell 341-9520 450GB 15000 RPM SAS 3Gb/s 3.5"" Internal Hard Drive",450,15000,SAS 3.0Gb/s,,
Axiom,Axiom AXD-PE200072SF 2 TB 3.5' Internal Hard Drive Axiom AXD-PE200072SF 2 TB 3.5' Internal Hard Drive,2048,,,,
Seagate,"Seagate Barracuda ST3120026AS 120GB 8MB Cache 7200RPM SATA 3.5"" Internal Desktop Hard Drive - OEM w/1 Year Warranty Seagate Barracuda ST3120026AS 120GB 8MB Cache 7200RPM SATA 3.5"" Internal Desktop Hard Drive - OEM w/1 Year Warranty",120,7200,,8,Barracuda
DELL,"Dell 341-9711 - 600GB 3.5"" SAS 10K 6Gb/s HS Hard Drive Dell 341-9711 - 600GB 3.5"" SAS 10K 6Gb/s HS Hard Drive",600,10000,SAS 12.0Gb/s,,
HGST,"Hitachi GST Ultrastar 15K147 HUS151473VL3800 (18P6272) 74GB 15000 RPM 16MB Cache SCSI Ultra320 80pin 3.5"" Hard Drive Bare Drive Hitachi GST Ultrastar 15K147 HUS151473VL3800 (18P6272) 74GB 15000 RPM 16MB Cache SCSI Ultra320 80pin 3.5"" Hard Drive Bare Drive",74,15000,SCSI Ultra,16,
Seagate,"Seagate Barracuda 7200.7 ST3160827AS 160GB 7200 RPM 8MB Cache SATA 1.5Gb/s 3.5"" Hard Drive Bare Drive Seagate Barracuda 7200.7 ST3160827AS 160GB 7200 RPM 8MB Cache SATA 1.5Gb/s 3.5"" Hard Drive Bare Drive",1500,7200,SATA 1.5Gb/s,8,Barracuda
Axiom,Axiom 300 GB 3.5' Internal Hard Drive Axiom 300 GB 3.5' Internal Hard Drive,300,,,,
Axiom,"Axiom Enterprise 2 TB 3.5"" Internal Hard Drive - OEM Axiom Enterprise 2 TB 3.5"" Internal Hard Drive - OEM",2048,,,,
DELL,"Dell 342-4150 - 600GB 2.5"" SAS 10K 6Gb/s HS Hard Drive Dell 342-4150 - 600GB 2.5"" SAS 10K 6Gb/s HS Hard Drive",600,10000,SAS 12.0Gb/s,,
IBM,"IBM 00V7108 - 3TB 3.5"" SAS 7.2K 6Gb/s HS Hard Drive IBM 00V7108 - 3TB 3.5"" SAS 7.2K 6Gb/s HS Hard Drive",3000,7200,SAS 6.0Gb/s,,
Seagate,"Seagate Constellation ES ST31000424SS 1TB 7200 RPM 16MB Cache SAS 6Gb/s 3.5"" Internal Hard Drive Bare Drive Seagate Constellation ES ST31000424SS 1TB 7200 RPM 16MB Cache SAS 6Gb/s 3.5"" Internal Hard Drive Bare Drive",1024,7200,SAS 6.0Gb/s,16,Constellation
DELL,"Dell 342-2974 - 900GB 2.5"" SAS 10K 6Gb/s HS Hard Drive Dell 342-2974 - 900GB 2.5"" SAS 10K 6Gb/s HS Hard Drive",900,10000,SAS 12.0Gb/s,,
Hewlett-Packard,HP 3 TB 3.5' Internal Hard Drive HP 3 TB 3.5' Internal Hard Drive,3000,,,,
IBM,"IBM 81Y3857 - 500GB 2.5"" Near Line SATA 7.2K 6Gb/s HS Hard Drive IBM 81Y3857 - 500GB 2.5"" Near Line SATA 7.2K 6Gb/s HS Hard Drive",500,7200,SAS 6.0Gb/s,,
Western Digital,WESTERN DIGITAL WD800JB 80GB 7200 RPM 8MB PATA WESTERN DIGITAL WD800JB 80GB 7200 RPM 8MB PATA,80,7200,,8,
